       MER     betaTX    betaRCV     length idx TX & RCV        OB1        OB2        OB3   b Kaiser     weight 
 41.702587   0.171500   0.198300         93      51193  62.015241  64.328921  63.122329   0.000000         20 
 41.763571   0.171500   0.198700         93      51194  62.015241  64.328921  63.122329   0.000000         20 
 41.824826   0.171500   0.199100         93      51195  62.015241  64.328921  63.122329   0.000000         20 
 41.886345   0.171500   0.199500         93      51196  62.015241  64.328921  63.122329   0.000000         20 
 41.948120   0.171500   0.199900         93      51197  62.015241  64.328921  63.122329   0.000000         20 
 40.038847   0.171600   0.186200         93      51232  61.988491  64.354280  63.147656   0.000000         20 
 40.089959   0.171600   0.186600         93      51233  61.988491  64.354280  63.147656   0.000000         20 
 40.141430   0.171600   0.187000         93      51234  61.988491  64.354280  63.147656   0.000000         20 
 40.193259   0.171600   0.187400         93      51235  61.988491  64.354280  63.147656   0.000000         20 
 40.245447   0.171600   0.187800         93      51236  61.988491  64.354280  63.147656   0.000000         20 
 40.297992   0.171600   0.188200         93      51237  61.988491  64.354280  63.147656   0.000000         20 
 40.350893   0.171600   0.188600         93      51238  61.988491  64.354280  63.147656   0.000000         20 
 40.404149   0.171600   0.189000         93      51239  61.988491  64.354280  63.147656   0.000000         20 
 40.457759   0.171600   0.189400         93      51240  61.988491  64.354280  63.147656   0.000000         20 
 40.511723   0.171600   0.189800         93      51241  61.988491  64.354280  63.147656   0.000000         20 
 40.566037   0.171600   0.190200         93      51242  61.988491  64.354280  63.147656   0.000000         20 
 40.620702   0.171600   0.190600         93      51243  61.988491  64.354280  63.147656   0.000000         20 
 40.675715   0.171600   0.191000         93      51244  61.988491  64.354280  63.147656   0.000000         20 
 40.731075   0.171600   0.191400         93      51245  61.988491  64.354280  63.147656   0.000000         20 
 40.786779   0.171600   0.191800         93      51246  61.988491  64.354280  63.147656   0.000000         20 
 40.842826   0.171600   0.192200         93      51247  61.988491  64.354280  63.147656   0.000000         20 
 40.899212   0.171600   0.192600         93      51248  61.988491  64.354280  63.147656   0.000000         20 
 40.955937   0.171600   0.193000         93      51249  61.988491  64.354280  63.147656   0.000000         20 
 41.012996   0.171600   0.193400         93      51250  61.988491  64.354280  63.147656   0.000000         20 
 41.070387   0.171600   0.193800         93      51251  61.988491  64.354280  63.147656   0.000000         20 
 41.128108   0.171600   0.194200         93      51252  61.988491  64.354280  63.147656   0.000000         20 
 41.186154   0.171600   0.194600         93      51253  61.988491  64.354280  63.147656   0.000000         20 
 41.244522   0.171600   0.195000         93      51254  61.988491  64.354280  63.147656   0.000000         20 
 41.303209   0.171600   0.195400         93      51255  61.988491  64.354280  63.147656   0.000000         20 
 41.362210   0.171600   0.195800         93      51256  61.988491  64.354280  63.147656   0.000000         20 
 41.421521   0.171600   0.196200         93      51257  61.988491  64.354280  63.147656   0.000000         20 
 41.481137   0.171600   0.196600         93      51258  61.988491  64.354280  63.147656   0.000000         20 
 41.541055   0.171600   0.197000         93      51259  61.988491  64.354280  63.147656   0.000000         20 
 41.601268   0.171600   0.197400         93      51260  61.988491  64.354280  63.147656   0.000000         20 
 41.661772   0.171600   0.197800         93      51261  61.988491  64.354280  63.147656   0.000000         20 
 41.722560   0.171600   0.198200         93      51262  61.988491  64.354280  63.147656   0.000000         20 
 41.783626   0.171600   0.198600         93      51263  61.988491  64.354280  63.147656   0.000000         20 
 41.844965   0.171600   0.199000         93      51264  61.988491  64.354280  63.147656   0.000000         20 
 41.906568   0.171600   0.199400         93      51265  61.988491  64.354280  63.147656   0.000000         20 
 41.968430   0.171600   0.199800         93      51266  61.988491  64.354280  63.147656   0.000000         20 
 40.006174   0.171700   0.185700         93      51300  61.961766  64.379647  63.172961   0.000000         20 
 40.056966   0.171700   0.186100         93      51301  61.961766  64.379647  63.172961   0.000000         20 
 40.108120   0.171700   0.186500         93      51302  61.961766  64.379647  63.172961   0.000000         20 
 40.159634   0.171700   0.186900         93      51303  61.961766  64.379647  63.172961   0.000000         20 
 40.211508   0.171700   0.187300         93      51304  61.961766  64.379647  63.172961   0.000000         20 
 40.263741   0.171700   0.187700         93      51305  61.961766  64.379647  63.172961   0.000000         20 
 40.316333   0.171700   0.188100         93      51306  61.961766  64.379647  63.172961   0.000000         20 
 40.369282   0.171700   0.188500         93      51307  61.961766  64.379647  63.172961   0.000000         20 
 40.422588   0.171700   0.188900         93      51308  61.961766  64.379647  63.172961   0.000000         20 
 40.476250   0.171700   0.189300         93      51309  61.961766  64.379647  63.172961   0.000000         20 
 40.530265   0.171700   0.189700         93      51310  61.961766  64.379647  63.172961   0.000000         20 
 40.584634   0.171700   0.190100         93      51311  61.961766  64.379647  63.172961   0.000000         20 
 40.639354   0.171700   0.190500         93      51312  61.961766  64.379647  63.172961   0.000000         20 
 40.694423   0.171700   0.190900         93      51313  61.961766  64.379647  63.172961   0.000000         20 
 40.749841   0.171700   0.191300         93      51314  61.961766  64.379647  63.172961   0.000000         20 
 40.805604   0.171700   0.191700         93      51315  61.961766  64.379647  63.172961   0.000000         20 
 40.861712   0.171700   0.192100         93      51316  61.961766  64.379647  63.172961   0.000000         20 
 40.918161   0.171700   0.192500         93      51317  61.961766  64.379647  63.172961   0.000000         20 
 40.974948   0.171700   0.192900         93      51318  61.961766  64.379647  63.172961   0.000000         20 
 41.032072   0.171700   0.193300         93      51319  61.961766  64.379647  63.172961   0.000000         20 
 41.089530   0.171700   0.193700         93      51320  61.961766  64.379647  63.172961   0.000000         20 
 41.147318   0.171700   0.194100         93      51321  61.961766  64.379647  63.172961   0.000000         20 
 41.205433   0.171700   0.194500         93      51322  61.961766  64.379647  63.172961   0.000000         20 
 41.263872   0.171700   0.194900         93      51323  61.961766  64.379647  63.172961   0.000000         20 
 41.322630   0.171700   0.195300         93      51324  61.961766  64.379647  63.172961   0.000000         20 
 41.381704   0.171700   0.195700         93      51325  61.961766  64.379647  63.172961   0.000000         20 
 41.441090   0.171700   0.196100         93      51326  61.961766  64.379647  63.172961   0.000000         20 
 41.500782   0.171700   0.196500         93      51327  61.961766  64.379647  63.172961   0.000000         20 
 41.560777   0.171700   0.196900         93      51328  61.961766  64.379647  63.172961   0.000000         20 
 41.621069   0.171700   0.197300         93      51329  61.961766  64.379647  63.172961   0.000000         20 
 41.681652   0.171700   0.197700         93      51330  61.961766  64.379647  63.172961   0.000000         20 
 41.742521   0.171700   0.198100         93      51331  61.961766  64.379647  63.172961   0.000000         20 
 41.803669   0.171700   0.198500         93      51332  61.961766  64.379647  63.172961   0.000000         20 
 41.865091   0.171700   0.198900         93      51333  61.961766  64.379647  63.172961   0.000000         20 
 41.926780   0.171700   0.199300         93      51334  61.961766  64.379647  63.172961   0.000000         20 
 41.988727   0.171700   0.199700         93      51335  61.961766  64.379647  63.172961   0.000000         20 
 40.024236   0.171800   0.185600         93      51369  61.935060  64.405139  63.198368   0.000000         20 
 40.075069   0.171800   0.186000         93      51370  61.935060  64.405139  63.198368   0.000000         20 
 40.126264   0.171800   0.186400         93      51371  61.935060  64.405139  63.198368   0.000000         20 
 40.177820   0.171800   0.186800         93      51372  61.935060  64.405139  63.198368   0.000000         20 
 40.229739   0.171800   0.187200         93      51373  61.935060  64.405139  63.198368   0.000000         20 
 40.282017   0.171800   0.187600         93      51374  61.935060  64.405139  63.198368   0.000000         20 
 40.334656   0.171800   0.188000         93      51375  61.935060  64.405139  63.198368   0.000000         20 
 40.387653   0.171800   0.188400         93      51376  61.935060  64.405139  63.198368   0.000000         20 
 40.441009   0.171800   0.188800         93      51377  61.935060  64.405139  63.198368   0.000000         20 
 40.494721   0.171800   0.189200         93      51378  61.935060  64.405139  63.198368   0.000000         20 
 40.548789   0.171800   0.189600         93      51379  61.935060  64.405139  63.198368   0.000000         20 
 40.603211   0.171800   0.190000         93      51380  61.935060  64.405139  63.198368   0.000000         20 
 40.657986   0.171800   0.190400         93      51381  61.935060  64.405139  63.198368   0.000000         20 
 40.713112   0.171800   0.190800         93      51382  61.935060  64.405139  63.198368   0.000000         20 
 40.768588   0.171800   0.191200         93      51383  61.935060  64.405139  63.198368   0.000000         20 
 40.824410   0.171800   0.191600         93      51384  61.935060  64.405139  63.198368   0.000000         20 
 40.880578   0.171800   0.192000         93      51385  61.935060  64.405139  63.198368   0.000000         20 
 40.937089   0.171800   0.192400         93      51386  61.935060  64.405139  63.198368   0.000000         20 
 40.993940   0.171800   0.192800         93      51387  61.935060  64.405139  63.198368   0.000000         20 
 41.051129   0.171800   0.193200         93      51388  61.935060  64.405139  63.198368   0.000000         20 
 41.108652   0.171800   0.193600         93      51389  61.935060  64.405139  63.198368   0.000000         20 
 41.166508   0.171800   0.194000         93      51390  61.935060  64.405139  63.198368   0.000000         20 
 41.224692   0.171800   0.194400         93      51391  61.935060  64.405139  63.198368   0.000000         20 
 41.283201   0.171800   0.194800         93      51392  61.935060  64.405139  63.198368   0.000000         20 
