       MER     betaTX    betaRCV     length idx TX & RCV        OB1        OB2        OB3   b Kaiser     weight 
 40.843148   0.143100   0.178500        101     140155  61.161497  64.280969  63.664507   0.000000         20 
 40.882963   0.143100   0.178900        101     140156  61.161497  64.280969  63.664507   0.000000         20 
 40.922620   0.143100   0.179300        101     140157  61.161497  64.280969  63.664507   0.000000         20 
 40.962105   0.143100   0.179700        101     140158  61.161497  64.280969  63.664507   0.000000         20 
 41.001404   0.143100   0.180100        101     140159  61.161497  64.280969  63.664507   0.000000         20 
 41.040503   0.143100   0.180500        101     140160  61.161497  64.280969  63.664507   0.000000         20 
 41.079386   0.143100   0.180900        101     140161  61.161497  64.280969  63.664507   0.000000         20 
 41.118039   0.143100   0.181300        101     140162  61.161497  64.280969  63.664507   0.000000         20 
 41.156447   0.143100   0.181700        101     140163  61.161497  64.280969  63.664507   0.000000         20 
 41.194594   0.143100   0.182100        101     140164  61.161497  64.280969  63.664507   0.000000         20 
 41.232464   0.143100   0.182500        101     140165  61.161497  64.280969  63.664507   0.000000         20 
 41.270042   0.143100   0.182900        101     140166  61.161497  64.280969  63.664507   0.000000         20 
 41.307311   0.143100   0.183300        101     140167  61.161497  64.280969  63.664507   0.000000         20 
 41.344255   0.143100   0.183700        101     140168  61.161497  64.280969  63.664507   0.000000         20 
 41.380858   0.143100   0.184100        101     140169  61.161497  64.280969  63.664507   0.000000         20 
 40.462836   0.143200   0.174400        101     140170  61.113710  64.307735  63.691199   0.000000         20 
 40.503586   0.143200   0.174800        101     140171  61.113710  64.307735  63.691199   0.000000         20 
 40.544303   0.143200   0.175200        101     140172  61.113710  64.307735  63.691199   0.000000         20 
 40.584975   0.143200   0.175600        101     140173  61.113710  64.307735  63.691199   0.000000         20 
 40.625590   0.143200   0.176000        101     140174  61.113710  64.307735  63.691199   0.000000         20 
 40.666137   0.143200   0.176400        101     140175  61.113710  64.307735  63.691199   0.000000         20 
 40.706603   0.143200   0.176800        101     140176  61.113710  64.307735  63.691199   0.000000         20 
 40.746977   0.143200   0.177200        101     140177  61.113710  64.307735  63.691199   0.000000         20 
 40.787246   0.143200   0.177600        101     140178  61.113710  64.307735  63.691199   0.000000         20 
 40.827396   0.143200   0.178000        101     140179  61.113710  64.307735  63.691199   0.000000         20 
 40.867416   0.143200   0.178400        101     140180  61.113710  64.307735  63.691199   0.000000         20 
 40.907291   0.143200   0.178800        101     140181  61.113710  64.307735  63.691199   0.000000         20 
 40.947007   0.143200   0.179200        101     140182  61.113710  64.307735  63.691199   0.000000         20 
 40.986551   0.143200   0.179600        101     140183  61.113710  64.307735  63.691199   0.000000         20 
 41.025909   0.143200   0.180000        101     140184  61.113710  64.307735  63.691199   0.000000         20 
 41.065065   0.143200   0.180400        101     140185  61.113710  64.307735  63.691199   0.000000         20 
 41.104006   0.143200   0.180800        101     140186  61.113710  64.307735  63.691199   0.000000         20 
 41.142715   0.143200   0.181200        101     140187  61.113710  64.307735  63.691199   0.000000         20 
 41.181178   0.143200   0.181600        101     140188  61.113710  64.307735  63.691199   0.000000         20 
 41.219380   0.143200   0.182000        101     140189  61.113710  64.307735  63.691199   0.000000         20 
 41.257304   0.143200   0.182400        101     140190  61.113710  64.307735  63.691199   0.000000         20 
 41.294934   0.143200   0.182800        101     140191  61.113710  64.307735  63.691199   0.000000         20 
 41.332254   0.143200   0.183200        101     140192  61.113710  64.307735  63.691199   0.000000         20 
 41.369248   0.143200   0.183600        101     140193  61.113710  64.307735  63.691199   0.000000         20 
 41.405898   0.143200   0.184000        101     140194  61.113710  64.307735  63.691199   0.000000         20 
 41.442189   0.143200   0.184400        101     140195  61.113710  64.307735  63.691199   0.000000         20 
 40.486476   0.143300   0.174300        101     140196  61.065995  64.334505  63.717879   0.000000         20 
 40.527287   0.143300   0.174700        101     140197  61.065995  64.334505  63.717879   0.000000         20 
 40.568063   0.143300   0.175100        101     140198  61.065995  64.334505  63.717879   0.000000         20 
 40.608795   0.143300   0.175500        101     140199  61.065995  64.334505  63.717879   0.000000         20 
 40.649471   0.143300   0.175900        101     140200  61.065995  64.334505  63.717879   0.000000         20 
 40.690078   0.143300   0.176300        101     140201  61.065995  64.334505  63.717879   0.000000         20 
 40.730605   0.143300   0.176700        101     140202  61.065995  64.334505  63.717879   0.000000         20 
 40.771040   0.143300   0.177100        101     140203  61.065995  64.334505  63.717879   0.000000         20 
 40.811369   0.143300   0.177500        101     140204  61.065995  64.334505  63.717879   0.000000         20 
 40.851580   0.143300   0.177900        101     140205  61.065995  64.334505  63.717879   0.000000         20 
 40.891660   0.143300   0.178300        101     140206  61.065995  64.334505  63.717879   0.000000         20 
 40.931595   0.143300   0.178700        101     140207  61.065995  64.334505  63.717879   0.000000         20 
 40.971371   0.143300   0.179100        101     140208  61.065995  64.334505  63.717879   0.000000         20 
 41.010974   0.143300   0.179500        101     140209  61.065995  64.334505  63.717879   0.000000         20 
 41.050390   0.143300   0.179900        101     140210  61.065995  64.334505  63.717879   0.000000         20 
 41.089605   0.143300   0.180300        101     140211  61.065995  64.334505  63.717879   0.000000         20 
 41.128602   0.143300   0.180700        101     140212  61.065995  64.334505  63.717879   0.000000         20 
 41.167369   0.143300   0.181100        101     140213  61.065995  64.334505  63.717879   0.000000         20 
 41.205887   0.143300   0.181500        101     140214  61.065995  64.334505  63.717879   0.000000         20 
 41.244144   0.143300   0.181900        101     140215  61.065995  64.334505  63.717879   0.000000         20 
 41.282121   0.143300   0.182300        101     140216  61.065995  64.334505  63.717879   0.000000         20 
 41.319804   0.143300   0.182700        101     140217  61.065995  64.334505  63.717879   0.000000         20 
 41.357175   0.143300   0.183100        101     140218  61.065995  64.334505  63.717879   0.000000         20 
 41.394219   0.143300   0.183500        101     140219  61.065995  64.334505  63.717879   0.000000         20 
 41.430918   0.143300   0.183900        101     140220  61.065995  64.334505  63.717879   0.000000         20 
 41.467255   0.143300   0.184300        101     140221  61.065995  64.334505  63.717879   0.000000         20 
 41.503214   0.143300   0.184700        101     140222  61.065995  64.334505  63.717879   0.000000         20 
 40.469205   0.143400   0.173800        101     140223  61.018353  64.361253  63.744801   0.000000         20 
 40.510097   0.143400   0.174200        101     140224  61.018353  64.361253  63.744801   0.000000         20 
 40.550967   0.143400   0.174600        101     140225  61.018353  64.361253  63.744801   0.000000         20 
 40.591804   0.143400   0.175000        101     140226  61.018353  64.361253  63.744801   0.000000         20 
 40.632596   0.143400   0.175400        101     140227  61.018353  64.361253  63.744801   0.000000         20 
 40.673332   0.143400   0.175800        101     140228  61.018353  64.361253  63.744801   0.000000         20 
 40.714000   0.143400   0.176200        101     140229  61.018353  64.361253  63.744801   0.000000         20 
 40.754588   0.143400   0.176600        101     140230  61.018353  64.361253  63.744801   0.000000         20 
 40.795084   0.143400   0.177000        101     140231  61.018353  64.361253  63.744801   0.000000         20 
 40.835474   0.143400   0.177400        101     140232  61.018353  64.361253  63.744801   0.000000         20 
