Signal Legend:

Key        Signal Name

0        = clk_en:EN_CLK|clk
1        = clk_en:EN_CLK|sam_clk_en
2        = clk_en:EN_CLK|sym_clk_en
3        = clk_en:EN_CLK|sys_clk
4        = clk_en:EN_CLK|cnt[3..0]
5        = LFSR_22:LFSR_GEN|cycle
6        = LFSR_22:LFSR_GEN|load
7        = LFSR_22:LFSR_GEN|reset
8        = LFSR_22:LFSR_GEN|cnt[21..0]
9        = LFSR_22:LFSR_GEN|x[21..0]
10       = LFSR_22:LFSR_GEN|out[21..0]
11       = mapper_in:SUT_input|LFSR[1..0]
12       = mapper_in:SUT_input|map_out[17..0]
13       = DUT_for_MER_measurement:DUT|reset
14       = DUT_for_MER_measurement:DUT|in_data[17..0]
15       = DUT_for_MER_measurement:DUT|decision_variable[17..0]
16       = DUT_for_MER_measurement:DUT|decision_variable_temp[17..0]
17       = DUT_for_MER_measurement:DUT|error[17..0]
18       = DUT_for_MER_measurement:DUT|error_temp[17..0]
19       = DUT_for_MER_measurement:DUT|errorless_decision_variable[17..0]
20       = DUT_for_MER_measurement:DUT|errorless_decision_variable_temp[17..0]
21       = DUT_for_MER_measurement:DUT|isi_power[17..0]
22       = DUT_for_MER_measurement:DUT|isi_term_hp[36..0]
23       = DUT_for_MER_measurement:DUT|isi_term_lp[17..0]
24       = DUT_for_MER_measurement:DUT|sum_level_one[18..0]

Data Table:

Signals-> 0 1 2 3 4  5 6 7 8       9        10       11  12     13 14     15     16     17     18     19     20     21     22          23     24     

sample

-50       0 0 0 0 6  0 0 0 3834042 438957   438957   01b -32768 1  38000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-49       0 0 0 1 7  0 0 0 3834042 438957   438957   01b -32768 1  38000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-48       0 0 0 0 7  0 0 0 3834042 438957   438957   01b -32768 1  38000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-47       0 1 0 1 8  0 0 0 3834042 438957   438957   01b -32768 1  38000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-46       0 1 0 0 8  0 0 0 3834042 438957   438957   01b -32768 1  38000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-45       0 0 0 1 9  0 0 0 3834043 877914   877914   10b 98304  1  18000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-44       0 0 0 0 9  0 0 0 3834043 877914   877914   10b 98304  1  18000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-43       0 0 0 1 10 0 0 0 3834043 877914   877914   10b 98304  1  18000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-42       0 0 0 0 10 0 0 0 3834043 877914   877914   10b 98304  1  18000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-41       0 0 0 1 11 0 0 0 3834043 877914   877914   10b 98304  1  18000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-40       0 0 0 0 11 0 0 0 3834043 877914   877914   10b 98304  1  18000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-39       0 1 0 1 12 0 0 0 3834043 877914   877914   10b 98304  1  18000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-38       0 1 0 0 12 0 0 0 3834043 877914   877914   10b 98304  1  18000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
-37       0 0 0 1 13 0 0 0 3834044 1755828  1755828  00b -98304 1  28000h 35B27h 0B6F3h 01B27h 3F6F3h 34000h 0C000h 02434h 07DBCC0000h 3EDE6h 70000h 
